Date,Morning,Day,Evening,Night
2017-08-10,30,57,0,5
2017-08-11,0,95,0,0
2017-08-12,1,71,9,0
2017-08-13,0,0,0,0
2017-08-14,0,56,0,0
2017-08-15,14,134,0,3
2017-08-16,0,62,0,17
2017-08-17,1,118,0,0
2017-08-18,0,52,0,0
2017-08-19,0,6,0,0
2017-08-20,0,0,0,0
2017-08-21,0,23,0,0
2017-08-22,0,10,0,0
2017-08-23,0,51,0,0
2017-08-24,0,32,0,0
2017-08-25,0,105,0,0
2017-08-26,0,0,0,0
2017-08-27,0,9,0,1
2017-08-28,0,23,46,15
2017-08-29,28,180,0,2
2017-08-30,14,51,4,30
2017-08-31,0,28,38,16
2017-09-01,0,96,0,0
2017-09-02,0,0,0,0
2017-09-03,0,0,0,0
2017-09-04,0,22,0,0
2017-09-05,3,59,1,0
2017-09-06,11,45,2,0
2017-09-07,60,230,7,6
2017-09-08,4,15,0,0
2017-09-09,0,0,0,0
2017-09-10,0,0,0,0
2017-09-11,0,133,0,0
2017-09-12,31,74,0,0
2017-09-13,41,83,2,0
2017-09-14,2,50,0,0
2017-09-15,0,11,0,0
2017-09-16,0,0,0,0
2017-09-17,0,3,0,0
2017-09-18,0,78,36,1
2017-09-19,11,31,4,2
2017-09-20,8,24,0,0
2017-09-21,14,211,0,0
2017-09-22,0,20,0,0
2017-09-23,0,141,0,1
2017-09-24,0,0,0,0
2017-09-25,0,44,0,0
2017-09-26,2,104,0,0
2017-09-27,69,96,0,0
2017-09-28,0,6,0,163
2017-09-29,17,157,18,10
2017-09-30,0,0,0,0
2017-10-01,0,0,0,0
2017-10-02,25,109,0,0
2017-10-03,8,228,0,14
2017-10-04,114,434,52,62
2017-10-05,38,92,5,23
2017-10-06,3,91,26,1
2017-10-07,7,96,0,0
2017-10-08,0,1,6,0
2017-10-09,19,88,58,3
2017-10-10,5,33,0,0
2017-10-11,0,48,6,1
2017-10-12,1,52,0,0
2017-10-13,5,19,0,0
2017-10-14,0,10,0,0
2017-10-15,0,9,7,0
2017-10-16,7,110,0,0
2017-10-17,7,15,0,0
2017-10-18,21,98,0,0
2017-10-19,0,8,0,0
2017-10-20,1,82,0,0
2017-10-21,0,0,0,0
2017-10-22,0,1,6,0
2017-10-23,0,104,10,0
2017-10-24,4,136,2,9
2017-10-25,0,29,0,0
2017-10-26,0,43,0,0
2017-10-27,2,65,5,12
2017-10-28,0,20,0,0
